customer_id,customer_name,phone,address,city,state,postal_code,sales_rep_employee_id,credit_limit
1001477,Sarah Mcdaniel,6658923327,1328 Brian Extension,Bloomfield,CT,06002,SRE6,2800.0
1002814,Kevin Jenkins,818-157-6906x87993,533 Michael Squares,Ashland City,TN,37015,SRE9,4600.0
1009228,Joan Thompson,(862)362-3265x683,714 Gonzalez Spurs,Metairie,LA,70003,SRE5,2700.0
1011765,Travis Stewart,001-959-951-8627,82255 Soto Fords Suite 066,Auburn,MP,03032,SRE1,4200.0
1014451,Rodney Carey,(531)045-4439x873,494 Nicholas Forks,Manassas,VA,20110,SRE3,1500.0
1017379,Alison Vang,(074)058-7178,7524 Elliott Radial,Phoenix,AZ,85003,SRE5,3300.0
1019484,Melissa Cook,(571)317-5234x81278,8318 Gina Row Apt. 190,Acton,MT,59002,SRE8,3400.0
1026283,Zachary Davis,001-332-255-8825,4807 Zamora Vista,Barrigada,GU,96913,SRE8,3700.0
1033031,Edward Compton,(307)140-6655x707,3506 Smith Orchard Apt. 124,Ashland City,TN,37015,SRE4,3000.0
1033177,Dr. Mark Payne,+1-472-922-6636x78451,922 Elizabeth Lights Suite 785,Bearcreek,MT,59007,SRE7,5700.0
1037840,Matthew Harris,0055112376,8139 Arnold Valleys,Metairie,LA,70005,SRE2,3300.0
1039729,Steven White,822.308.2937x4083,227 Gutierrez Wall,Bluefield,WV,24701,SRE2,2600.0
1044684,Jennifer Lee,201-234-8332x09504,20644 Blair Hill,Bethel,MN,55005,SRE1,1500.0
1050128,Andre Lewis,430.935.2827x0414,0119 Rivers Extensions Suite 515,Arvada,CO,80002,SRE4,4100.0
1051742,Joyce Cooper,972-486-1167x17716,0654 Chelsea Lodge,Amenia,ND,58004,SRE8,5500.0
1054421,Dorothy Brown,(597)265-7118x7769,95247 Barry Circles,Bayport,MN,55003,SRE5,4000.0
1071787,Joshua Mack,+1-535-981-7860x7100,933 Krista Forges,Ashland City,TN,37015,SRE9,4500.0
1074246,Ryan Cole,806.327.1738x257,981 Kristin Isle Suite 476,Beresford,SD,57004,SRE9,3800.0
1080422,Theresa Thomas,399-163-8117x7881,4940 Ashley Inlet,Brandon,SD,57005,SRE6,2400.0
1086708,Colleen Garcia,001-650-748-6348x1296,72765 Snyder Trace,Atchison,KS,66002,SRE6,3100.0
1090959,Nicholas Cook,(876)136-2088x12586,57940 Chelsea Divide,Berwick,ME,03901,SRE9,3900.0
1091000,Sarah Roth,(523)480-1219x292,269 Molina Manor,Auburn,WA,98002,SRE8,3000.0
1092018,Kiara Duncan,+1-373-737-8185x4294,93298 Vincent Mountain Suite 177,Blue Mound,KS,66010,SRE1,4000.0
1093137,Timothy Fitzgerald,657.612.9944,201 Mary Manors,Accokeek,MD,20607,SRE2,1900.0
1099188,Emily Soto,001-921-094-9102x95178,7593 Gregory Ranch,Absaraka,ND,58002,SRE5,4700.0
1104573,Michael Lutz,062.159.6399,37926 Colleen Curve Suite 219,Pocatello,ID,83204,SRE8,2400.0
1111054,Thomas Reynolds,+1-706-666-1249x0201,47924 Reynolds Mews Suite 340,Brookline,MP,03033,SRE1,5700.0
1111239,Aaron Valdez,(434)727-6917,46608 Stewart Centers Suite 190,Los Angeles,CA,90004,SRE2,3000.0
1114662,Diane Pham,001-264-486-1201x641,097 Lee Alley,Anchorage,AS,99501,SRE1,2200.0
1126043,Becky Becker,(350)001-9119,87679 Jared Stravenue Suite 558,Pocatello,ID,83201,SRE3,4700.0
1131806,Mr. Tristan Medina DDS,(253)026-7494,55032 Victoria Station Apt. 868,Abbeville,MS,38601,SRE4,4700.0
1136507,Gabriel Martinez,+1-511-451-5070x8194,4712 Gonzalez Run Apt. 781,Pine Bluff,AR,71601,SRE10,3700.0
1138988,Charlotte Vargas,720-742-8099,719 Coleman Well Suite 904,Baltic,SD,57003,SRE1,4400.0
1141230,Dawn Sparks,(959)980-4730x0109,9295 Boyd River Apt. 662,Barrington,RI,02806,SRE8,2800.0
1153334,Mark Carlson,729.709.9499x905,671 Rodriguez Isle,Caliente,NV,89008,SRE5,4700.0
1153585,Holly Russell,305-537-3628x7838,079 Meagan Alley,Beaver,PA,15009,SRE9,3200.0
1153684,Michael Mitchell,210-437-9975x847,92237 Bailey Keys,Bloomfield,NJ,07003,SRE7,6500.0
1177894,Robert Macdonald,985-055-6647x93457,51398 Peter Light,Beresford,SD,57004,SRE7,2800.0
1178334,Miss Whitney Hodges,093.445.9490x6562,200 Davis Mission Suite 819,Brookline,MP,03033,SRE2,2600.0
1188078,Joyce Jones,709.514.3671x08648,378 Morris Terrace,Braham,MN,55006,SRE2,5600.0
1190078,Kaylee Moore,+1-600-299-2519x3673,3879 Jack Pines Suite 237,Lake City,FL,32024,SRE6,1400.0
1192046,Dustin Harper,318.424.7770x69775,032 Taylor Hill,Bloomfield,NJ,07003,SRE4,1500.0
1198199,Maria Wells,+1-063-500-3739,8151 Jones Ridge,Ashland,MS,38603,SRE2,2000.0
1201933,Daniel Lewis,9111179207,136 Dustin Grove,Bosque,NM,87006,SRE9,3000.0
1209278,Dylan Phelps,+1-461-681-1418x4612,23636 Walker Pike Suite 241,Ararat,NC,27007,SRE2,5800.0
1210514,Ethan Taylor,6344706881,3273 Steven Lane Suite 362,Accokeek,MD,20607,SRE5,3500.0
1215840,Justin Cooper,001-898-186-4964,084 Philip Ferry,Bethel,VT,05032,SRE4,3300.0
1226076,Tyler Norton,001-368-047-9128x5101,124 Barajas Forks Suite 749,Federal Way,WA,98003,SRE3,5000.0
